Date,PP01,TX01
2001-02-28,1.17205425364025,1,14.282244413025841
2001-03-01,1.3222690989114654,1,16.22446742380951
2001-03-02,0.0,0,19.68516532708904
2001-03-03,0.0,0,19.546721002234406
2001-03-04,16.01872215493298,1,18.9464616832432
2001-03-05,0.4275114869855485,1,19.25769567587157
2001-03-06,8.439852947012648,1,14.768438936400518
2001-03-07,0.0,0,17.277196128080575
2001-03-08,10.978559771435904,1,14.334068665734574
2001-03-09,3.1767848324633325,1,14.471620344651251
2001-03-10,6.833752807339177,1,13.042466954879703
2001-03-11,0.0,0,17.47281931186999
2001-03-12,0.0,0,18.290831598937032
2001-03-13,0.8515982913584864,1,14.712148000985554
2001-03-14,0.9815358658343099,1,16.230824407851117
2001-03-15,0.06838469356196146,1,17.494163953445263
2001-03-16,0.0,0,19.70917867721625
2001-03-17,0.0,0,19.60993500172687
2001-03-18,2.876972008441558,1,16.854728831095166
2001-03-19,0.0,0,18.60457167195666
2001-03-20,2.2584400736526065,1,17.367048670112965
2001-03-21,0.0,0,20.404770245355863
2001-03-22,0.0,0,19.388253879037663
2001-03-23,46.51490639139432,1,18.37241406006457
2001-03-24,0.0,0,16.926928118892974
2001-03-25,0.0,0,16.667311652096554
2001-03-26,0.0,0,19.926736741642024
2001-03-27,10.992281048158661,1,19.46418077793426
2001-03-28,13.42497145598738,1,18.26584991704034
2001-03-29,27.147370884771167,1,19.310452299225094
2001-03-30,15.938977881516218,1,17.56782597906546
2001-03-31,2.665314287377203,1,18.553895620067742
2001-04-01,16.50833922003111,1,17.550445922811683
2001-04-02,0.0,0,22.42315828227346
2001-04-03,0.0,0,21.68778492059082
2001-04-04,0.0,0,23.329821437177202
2001-04-05,0.0,0,22.25817013865904
2001-04-06,0.0,0,24.37889966496485
2001-04-07,0.0,0,23.24163225188195
2001-04-08,0.0,0,24.317926909286435
2001-04-09,0.0,0,22.91865491273717
2001-04-10,0.0,0,20.9559541698841
2001-04-11,8.886193118604265,1,21.67742984206859
2001-04-12,1.9101073128183557,1,22.55047984259858
2001-04-13,17.852419646905325,1,23.670468541035234
2001-04-14,0.047821057948396875,1,21.763572119968938
2001-04-15,9.409420678982519,1,23.357713043071733
2001-04-16,11.081958606333828,1,21.81010676564911
2001-04-17,0.32080726984162816,1,21.841413092446437
2001-04-18,24.45302071730058,1,18.994851332902872
2001-04-19,0.0,0,24.898923404459687
2001-04-20,49.44849848112559,1,24.907541615641726
2001-04-21,8.8355012922627,1,24.155923934329554
2001-04-22,0.0,0,27.52841329010957
2001-04-23,0.0,0,27.192304274765323
2001-04-24,0.0,0,28.03118872976865
2001-04-25,0.0,0,24.12057738802122
2001-04-26,0.0,0,28.174510897095725
2001-04-27,0.0,0,25.04136294258274
2001-04-28,0.0,0,23.40504255092603
2001-04-29,9.583526082474249,1,21.07771946032916
2001-04-30,0.0,0,23.52439528405943
2001-05-01,0.0,0,21.480116681242993
2001-05-02,0.0,0,23.455585770887218
2001-05-03,0.0,0,24.74453363659123
2001-05-04,0.0,0,23.874477701440586
